Name,Type,Description,SP
Threat. Atk/Spd 3,C,"At start of turn, if unit is within 2 spaces of a foe, grants Atk/Spd+5 to unit for 1 turn and inflicts Atk/Spd-5 on foes within 2 spaces through their next actions.",300
Lull Atk/Spd 1,B,"Inflicts Atk/Spd-1 on foe and neutralizes foe's bonuses to Atk/Spd (from skills like Fortify, Rally, etc.) during combat.",60
Lull Atk/Spd 2,B,"Inflicts Atk/Spd-2 on foe and neutralizes foe's bonuses to Atk/Spd (from skills like Fortify, Rally, etc.) during combat.",120
Lull Atk/Spd 3,B,"Inflicts Atk/Spd-3 on foe and neutralizes foe's bonuses to Atk/Spd (from skills like Fortify, Rally, etc.) during combat.",240
Rouse Spd/Res 1,C,"At start of turn, if unit is not adjacent to an ally, grants Spd/Res+2 to unit for 1 turn.",60
Rouse Spd/Res 2,C,"At start of turn, if unit is not adjacent to an ally, grants Spd/Res+4 to unit for 1 turn.",120
Rouse Spd/Res 3,C,"At start of turn, if unit is not adjacent to an ally, grants Spd/Res+6 to unit for 1 turn.",240
Perfect Atk/Spd,A,"If unit's HP ≥ 25% at start of combat or unit is within 3 spaces of an ally, grants Atk/Spd+7 to unit during combat, and also, if unit's Spd > foe's Spd, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.If unit's HP ≥ 25% at start of combat and unit is within 3 spaces of an ally, grants an additional Atk/Spd+3 to unit during combat.",300
Speedtaker 1,B,"At start of turn, grants Spd【Great Talent】+1 to unit.After combat, if unit attacked, grants Spd【Great Talent】+1 to unit.Deals damage = 5% of unit's Spd during combat (excluding area-of-effect Specials).(This skill grants max of【Great Talent】+5.)【Great Talent】Adds value of Great Talent (+X) to specified stats (until end of battle; max value of X is determined by the stat reaching the limit of 99, each stat calculated separately and cannot exceed max value for each skill; stat increases are not treated as Bonus effects).",60
Speedtaker 2,B,"At start of turn, grants Spd【Great Talent】+1 to unit.After combat, if unit attacked, grants Spd【Great Talent】+2 to unit.Deals damage = 10% of unit's Spd during combat (excluding area-of-effect Specials).(This skill grants max of【Great Talent】+10.)【Great Talent】Adds value of Great Talent (+X) to specified stats (until end of battle; max value of X is determined by the stat reaching the limit of 99, each stat calculated separately and cannot exceed max value for each skill; stat increases are not treated as Bonus effects).",120
Speedtaker 3,B,"At start of turn, grants Spd【Great Talent】+1 to unit.After combat, if unit attacked, grants Spd【Great Talent】+3 to unit.Deals damage = 15% of unit's Spd during combat (excluding area-of-effect Specials).(This skill grants max of【Great Talent】+15.)【Great Talent】Adds value of Great Talent (+X) to specified stats (until end of battle; max value of X is determined by the stat reaching the limit of 99, each stat calculated separately and cannot exceed max value for each skill; stat increases are not treated as Bonus effects).",240
Speedtaker 4,B,"At start of turn, grants Spd【Great Talent】+1 to unit.After combat, if unit attacked, grants Spd【Great Talent】+4 to unit.Inflicts Spd/Def-4 on foe, unit deals damage = 20% of unit's Spd (excluding area-of-effect Specials), neutralizes unit's penalties to Spd, and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.(This skill grants max of【Great Talent】+20.)【Great Talent】Adds value of Great Talent (+X) to specified stats (until end of battle; max value of X is determined by the stat reaching the limit of 99, each stat calculated separately and cannot exceed max value for each skill; stat increases are not treated as Bonus effects).",300
Time's Pulse 1,C,"At the start of every third turn, if Special cooldown count is at its maximum value, grants Special cooldown count-1.",60
Time's Pulse 2,C,"At start of odd-numbered turns, if Special cooldown count is at its maximum value, grants Special cooldown count-1.",120
Time's Pulse 3,C,"At start of turn, if Special cooldown count is at its maximum value, grants Special cooldown count-1.",240
Pulse On: Blades,C,"Grants bonus to unit's Atk/Spd = unit's max Special cooldown count value + 2, and if unit's attack can trigger unit's Special, grants Special cooldown count-2 to unit before unit's first follow-up attack during combat.",300
Lull Echo,X,"Inflicts penalty on foe's Atk/Spd/Def/Res = number of【Bonus】effects active on foe (max 4; excluding stat bonuses), and neutralizes foe's bonuses during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",—
Darting Blow 1,A,"If unit initiates combat, grants Spd+2 during combat.",50
Darting Blow 2,A,"If unit initiates combat, grants Spd+4 during combat.",100
Darting Blow 3,A,"If unit initiates combat, grants Spd+6 during combat.",200
Darting Blow 4,A,"If unit initiates combat, grants Spd+9 during combat.",300
Null Follow-Up 1,B,"At start of combat, if unit's HP = 100%, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.",60
Null Follow-Up 2,B,"At start of combat, if unit's HP ≥ 50%, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.",120
Null Follow-Up 3,B,Neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.,240
Odd Atk Wave 1,C,"At start of odd-numbered turns, grants Atk+2 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",60
Odd Atk Wave 2,C,"At start of odd-numbered turns, grants Atk+4 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",120
Odd Atk Wave 3,C,"At start of odd-numbered turns, grants Atk+6 to unit and adjacent allies for 1 turn. (Bonus granted to unit even if no allies are adjacent.)",240
Steady Stance 1,A,"If foe initiates combat, grants Def+2 during combat.",50
Sturdy Stance 1,A,"If foe initiates combat, grants Atk/Def+2 during combat.",120
Sturdy Stance 2,A,"If foe initiates combat, grants Atk/Def+4 during combat.",240
Brash Assault 1,B,"If unit initiates combat against a foe that can counter and unit's HP ≤ 30%, unit makes a guaranteed follow-up attack.",50
Brash Assault 2,B,"If unit initiates combat against a foe that can counter and unit's HP ≤ 40%, unit makes a guaranteed follow-up attack.",100
Brash Assault 3,B,"If unit initiates combat against a foe that can counter and unit's HP ≤ 50%, unit makes a guaranteed follow-up attack.",200
Atk/Res Bond 1,A,"If unit is adjacent to an ally, grants Atk/Res+3 during combat.",60
Atk/Res Bond 2,A,"If unit is adjacent to an ally, grants Atk/Res+4 during combat.",120
Atk/Res Bond 3,A,"If unit is adjacent to an ally, grants Atk/Res+5 during combat.",240
Atk/Res Unity,A,"If unit is within 2 spaces of an ally, grants Atk/Res+5 and bonus to Atk/Res during combat=current penalty on each of those stats × 2. (Example: if unit has -7 penalty to Atk, grants Atk+19, for a net bonus of Atk+12.) Calculates each stat bonus independently.",300
Atk/Res Oath 1,C,"At start of turn, if unit is adjacent to an ally, grants Atk/Res+3 to unit for 1 turn.",60
Atk/Res Oath 2,C,"At start of turn, if unit is adjacent to an ally, grants Atk/Res+4 to unit for 1 turn.",120
Atk/Res Oath 3,C,"At start of turn, if unit is adjacent to an ally, grants Atk/Res+5 to unit for 1 turn.",240
Ashera's Chosen,A,"Neutralizes ""effective against flying"" bonuses. If unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, grants Atk/Def+6 during combat.",300
Ashera's Chosen+,A,"Neutralizes ""effective against flying"" bonuses. If unit is adjacent to only beast or dragon allies, if unit is not adjacent to any ally, or if foe's HP ≥ 75% at start of combat, grants Atk/Def/Res+9 to unit during combat, and also, if unit's Res > foe's Res, deals damage = 70% of the difference between stats (max 7) and reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).",300
Vantage 1,B,"If unit's HP ≤ 25% and foe initiates combat, unit can counterattack before foe's first attack.",50
Vantage 2,B,"If unit's HP ≤ 50% and foe initiates combat, unit can counterattack before foe's first attack.",100
Vantage 3,B,"If unit's HP ≤ 75% and foe initiates combat, unit can counterattack before foe's first attack.",200
Atk/Def Oath 1,C,"At start of turn, if unit is adjacent to an ally, grants Atk/Def+3 to unit for 1 turn.",60
Atk/Def Oath 2,C,"At start of turn, if unit is adjacent to an ally, grants Atk/Def+4 to unit for 1 turn.",120
Atk/Def Oath 3,C,"At start of turn, if unit is adjacent to an ally, grants Atk/Def+5 to unit for 1 turn.",240
Atk/Def Rein 1,C,Inflicts Atk/Def-2 on foes within 2 spaces during combat.,60
Atk/Def Rein 2,C,Inflicts Atk/Def-3 on foes within 2 spaces during combat.,120
Atk/Def Rein 3,C,Inflicts Atk/Def-4 on foes within 2 spaces during combat.,240
Atk/Def Hold,C,Inflicts Atk/Def-4 on foes within 3 spaces during combat.,300
Atk/Res Finish 1,A,"If unit is within 3 spaces of an ally, grants Atk/Res+2 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +1 damage during combat. (Except when dealing damage with area-of-effect Specials.)",60
Atk/Res Finish 2,A,"If unit is within 3 spaces of an ally, grants Atk/Res+4 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +3 damage during combat. (Except when dealing damage with area-of-effect Specials.)",120
Atk/Res Finish 3,A,"If unit is within 3 spaces of an ally, grants Atk/Res+6 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +5 damage during combat. (Except when dealing damage with area-of-effect Specials.)",240
Atk/Res Finish 4,A,"If unit is within 3 spaces of an ally, grants Atk/Res+7 to unit during combat, and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +5 damage during combat (except when dealing damage with area-of-effect Specials), and when unit deals damage to foe during combat, restores 7 HP to unit. (Triggers even if 0 damage is dealt.)",300
Atk/Def Bulwark 1,B,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Atk/Def-2 on foe during combat. Restores 3 HP to unit after combat.",60
Atk/Def Bulwark 2,B,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Atk/Def-3 on foe during combat. Restores 5 HP to unit after combat.",120
Atk/Def Bulwark 3,B,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit. (Does not affect foes with Pass skills.) Inflicts Atk/Def-4 on foe during combat. Restores 7 HP to unit after combat.",240
