Name,Might,Range,Description,SP
Horn of Harvest,14,1,"Accelerates Special trigger (cooldown count-1).Foes with Range = 1 cannot move through spaces adjacent to unit (does not affect foes with Pass skills). Foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills).For allies within 2 spaces of unit, restores X HP to those allies as their combat begins (triggers after effects that deal damage as combat begins), and reduces the effect of【Deep Wounds】by 50% during combat. (If target's Def > foe's Def, X = 20% of target's max HP + difference between stats × 4; otherwise, X = 20% of target's max HP; max 40% of target's max HP + damage dealt to unit as combat begins; only highest value applied; does not stack.)If foe initiates combat or if foe's HP ≥ 75% at start of combat, inflicts penalty on foe's Atk/Def during combat = 6 + number of allies within 3 spaces of unit × 3 (max 15), reduces the effect of【Deep Wounds】by 50% during combat, deals damage = 20% of unit's Def (including when dealing damage with a Special triggered before combat), reduces damage from foe's attacks by 20% of unit's Def (including when taking damage with a Special triggered before combat), and restores X HP to unit as unit's combat begins (triggers after effects that deal damage as combat begins).At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, deals +7 damage when Special triggers, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit.【Deep Wounds】Unit's HP cannot be healed through its next action.",400
Duality Vessel,14,2,"Accelerates Special trigger (cooldown count-1). If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat, unit makes a guaranteed follow-up attack, inflicts Special cooldown charge -1 on foe per attack (only highest value applied; does not stack), reduces damage from foe's attacks during combat by 20% of unit's Def (excluding area-of-effect Specials), and also, if unit's Def > foe's Def, reduces damage from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by difference between stats × 1.5.",400
Mercurius,16,1,"Grants Atk+3. At start of turn, if unit's HP ≥ 50%, grants Atk/Spd/Def/Res+4 to unit and sword, lance, axe, bow, dagger, or beast allies within 2 spaces for 1 turn. (Bonus granted to unit even if no allies are within 2 spaces.)",400
Damiell Bow,14,2,"Effective against flying foes. Grants Spd+3. If a Rally Assist skill is used by unit, grants target【Bonus Doubler】and target can move 1 extra space. (That turn only. Does not stack. No effect on cavalry allies with Range = 2.) At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat.【Bonus Doubler】Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats for 1 turn. Calculates each stat bonus independently.",400
Wo Dao,9,1,Deals +10 damage when Special triggers.,200
Wo Dao+,13,1,Deals +10 damage when Special triggers.,300
Concealed Blade,16,1,Deals +10 damage when Special triggers.,400
Blessed Aureola,14,2,"Accelerates Special trigger (cooldown count-1).Effective against magic foes.For allies within 3 rows or 3 columns centered on unit, grants Atk/Def/Res+5 during combat, and also, if ally's attack can trigger ally's Special, grants Special cooldown count-1 to ally before their first attack during combat, and also, if ally cannot perform a follow-up attack and attack twice, grants Special cooldown count-1 to ally before their first attack during combat.If there is an ally within 3 rows or 3 columns centered on unit, grants bonus to unit's Atk/Def/Res = 20% of unit's Res at start of combat + 5, deals damage = 20% of unit's Res (excluding area-of-effect Specials), reduces damage from foe's attacks by 20% of unit's Res (excluding area-of-effect Specials), and grants Special cooldown count-1 to unit before unit's first attack during combat.If there is an ally within 3 rows or 3 columns centered on unit and foe uses magic, grants Atk+10 to unit during combat, and also, if foe initiates combat, unit can counterattack before foe's first attack.",400
Stout Axe,10,1,"At start of combat, if unit's HP ≥ 50%, grants Atk/Def+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%.",200
Stout Axe+,14,1,"At start of combat, if unit's HP ≥ 50%, grants Atk/Def+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%.",300
Assault,10,2,—,50
Diplomacy Staff,14,2,"Calculates damage from staff like other weapons. At start of turn, grants Atk/Def/Res+6 and the following status to unit's support partner (if any): ""If unit initiates combat, unit makes a guaranteed follow-up attack."" At start of turn, if at least one ally has been defeated, grants Special cooldown count-2 and the following status to unit's support partner (if any): ""Foe cannot make a follow-up attack.""",400
Flux,4,2,—,50
Ruin,6,2,—,100
Fenrir,9,2,—,200
Aversa's Night,14,2,"Grants Res+3. At start of turn, if any foe's HP ≤ unit's HP-3 and that foe is adjacent to another foe, inflicts Atk/Spd/Def/Res-3 on that foe and bonuses on that foe become penalties through its next action.",400
Ayra's Blade,16,1,"Grants Spd+3. If unit's Spd > foe's Spd, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",400
Sword of Isaach,16,1,"Accelerates Special trigger (cooldown count-1).At start of turn, if unit's HP ≥ 25%, grants Atk/Spd+6,【Potent Follow】, and ""neutralizes foe's bonuses during combat"" to unit and allies within 2 spaces of unit for 1 turn.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = 5 + 15% of unit's Spd at start of combat, and also, if【Potent Follow X%】has triggered and X ≤ 99, then X = 100, unit deals +Y × 5 damage (Y = number of Bonus effects active on unit, excluding stat bonuses + number of Penalty effects active on foe, excluding stat penalties; max 5; excluding area-of-effect Specials), and reduces damage from foe's first attack by Y × 3 during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, when foe's attack triggers foe's Special, reduces damage by Y × 3 (excluding area-of-effect Specials).At start of combat, if unit's HP ≥ 25%, restores 7 HP to unit after combat.【Potent Follow】If decreasing the Spd difference necessary to make a follow-up attack by 25 would allow unit to trigger a follow-up attack (excluding guaranteed or prevented follow-ups), triggers【Potent Follow X%】during combat (if unit cannot perform follow-up and attack twice, X = 80; otherwise, X = 40).【Potent Follow X%】Triggers an additional follow-up attack immediately after unit's standard follow-up attack and deals damage = X% of unit's normal attack damage (if unit cannot make a follow-up attack, this effect triggers when the standard follow-up attack would occur; this effect is treated like a follow-up attack, so effects like ""reduce damage by X%"" still apply, but this effect is not affected by effects that prevent follow-ups or ""attacks twice"" effects; only highest value applied; does not stack).",400
Teatime's Edge,16,1,"Enables【Canto (Dist. +1; Max ４)】.Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+X to unit (X = 25% of foe's Atk at start of combat - 2; min 6; max 16), deals damage = 20% of unit's Spd (excluding area-of-effect Specials), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.【Canto (Dist. +1; Max ４)】After an attack, Assist skill, or structure destruction, unit can move spaces = number of spaces from start position to end position of unit before the above, +1. (max ４.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400
Pain,3,2,"After combat, if unit attacked, deals 10 damage to foe.",150
Pain+,10,2,Deals 10 damage to target and foes within 2 spaces of target after combat.,300
Sparking Tome,14,2,"Grants Spd+3. At start of combat, if foe's HP ≥ 50%, inflicts Spd/Res-6 on foe during combat and inflicts penalty on foe's Spd/Res during combat = current bonus on each of foe's stats × 2. (Example: if foe has +7 bonus to Spd, inflicts Spd-20, for a net penalty of Spd-13.) Calculates each stat penalty independently.",400
Hagoita,10,1,Grants Def/Res+2 to allies within 2 spaces during combat.,200
Hagoita+,14,1,Grants Def/Res+2 to allies within 2 spaces during combat.,300
Dancing Flames,14,2,"Grants Atk+3. If Sing or Dance is used, grants Atk/Spd/Def/Res+6 to adjacent allies for 1 turn. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat.",400
Urðr,16,1,"If Sing or Dance is used, grants Atk/Spd/Def/Res+3 to target.",400
Sapphire Lance,8,1,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",200
Sapphire Lance+,12,1,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",300
Tri-Path Splitter,16,1,"Enables【Canto (Dist. +1; Max ４)】.Grants Spd+3. At start of turn, if unit is within 2 spaces of an ally, grants Atk/Spd+6, 【Null Follow-Up】, and【Null Panic】 to unit and allies within 2 spaces of unit for 1 turn. If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat.【Canto (Dist. +1; Max ４)】After an attack, Assist skill, or structure destruction, unit can move spaces = number of spaces from start position to end position of unit before the above, +1. (Max ４.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Null Follow-Up】If unit's Spd > foe's Spd during combat, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks for 1 turn.【Null Panic】If unit is inflicted with Panic (bonuses converted into penalties), neutralizes the ""converts bonuses on target into penalties"" effect for 1 turn. (Even though the effect is neutralized, the Panic status remains, and is treated as a Penalty status.)",400
Prayer Wheel,14,2,"Grants Spd+3. If a skill like Sing or Dance is used, grants bonus to target's Atk/Spd/Def/Res = highest bonus on target ally for 1 turn. (Example: if target has a +6 bonus to Atk, grants Atk/Spd/Def/Res+6.)",400
Book of Shadows,14,2,"Grants Spd+3. If unit is adjacent to an ally, inflicts Atk/Spd/Def/Res-4 on foe during combat.",400
Instant Axe,10,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",200
Instant Axe+,14,1,"If unit initiates combat, grants Atk/Def+4 during combat and foe cannot make a follow-up attack.",300
Dark Breath,9,1,"If unit initiates combat, inflicts Atk/Spd-5 on foes within 2 spaces of target through their next actions after combat.",200
Dark Breath+,13,1,"If unit initiates combat, inflicts Atk/Spd-5 on foes within 2 spaces of target through their next actions after combat.",300
Wizened Breath,16,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit during combat, and also, if no effect neutralizes penalties to foe's Atk/Spd/Def/Res, inflicts penalty on each of those stats during combat = 6 - current penalty on each of those stats (min: 0; calculates each stat penalty independently). If unit's HP ≥ 25% at start of combat, inflicts Atk/Spd/Def/Res-6 on foe through its next action after combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
